ID,Job_Type,Job_Satisfaction
1920,Full-Time,Very Satisfied
1921,Contract,Dissatisfied
1922,Full-Time,Very Dissatisfied
1923,Full-Time,Dissatisfied
1924,Internship,Very Satisfied
1925,Contract,Very Satisfied
1926,Part-Time,Satisfied
1927,Full-Time,Satisfied
1928,Full-Time,Satisfied
1929,Full-Time,Very Satisfied
1930,Freelance,Satisfied
1931,Part-Time,Neutral
1932,Full-Time,Dissatisfied
1933,Contract,Satisfied
1934,Part-Time,Very Satisfied
1935,Freelance,Satisfied
1936,Full-Time,Neutral
1937,Internship,Neutral
1938,Full-Time,Satisfied
1939,Contract,Satisfied
1940,Full-Time,Satisfied
1941,Full-Time,Dissatisfied
1942,Contract,Very Satisfied
1943,Part-Time,Satisfied
1944,Contract,Dissatisfied
1945,Contract,Satisfied
1946,Full-Time,Neutral
1947,Full-Time,Satisfied
1948,Full-Time,Very Satisfied
1949,Full-Time,Very Dissatisfied
1950,Full-Time,Neutral
1951,Full-Time,Neutral
1952,Freelance,Neutral
1953,Full-Time,Very Satisfied
1954,Freelance,Neutral
1955,Full-Time,Satisfied
1956,Contract,Neutral
1957,Full-Time,Neutral
1958,Full-Time,Dissatisfied
1959,Freelance,Very Satisfied
1960,Freelance,Satisfied
1961,Internship,Satisfied
1962,Freelance,Satisfied
1963,Contract,Very Dissatisfied
1964,Full-Time,Very Satisfied
1965,Full-Time,Satisfied
1966,Internship,Neutral
1967,Full-Time,Neutral
1968,Contract,Dissatisfied
1969,Part-Time,Very Dissatisfied
1970,Contract,Satisfied
1971,Full-Time,Neutral
1972,Full-Time,Very Satisfied
1973,Full-Time,Satisfied
1974,Internship,Neutral
1975,Freelance,Neutral
1976,Internship,Neutral
1977,Full-Time,Very Satisfied
1978,Internship,Neutral
1979,Contract,Satisfied
1980,Full-Time,Neutral
1981,Full-Time,Satisfied
1982,Freelance,Very Satisfied
1983,Full-Time,Very Dissatisfied
1984,Full-Time,Very Satisfied
1985,Part-Time,Satisfied
1986,Internship,Dissatisfied
1987,Part-Time,Neutral
1988,Contract,Satisfied
1989,Internship,Neutral
1990,Freelance,Satisfied
1991,Freelance,Dissatisfied
1992,Part-Time,Very Satisfied
1993,Full-Time,Very Satisfied
1994,Full-Time,Neutral
1995,Contract,Neutral
1996,Full-Time,Satisfied
1997,Contract,Satisfied
1998,Part-Time,Dissatisfied
1999,Full-Time,Dissatisfied
2000,Contract,Very Satisfied
2001,Part-Time,Very Dissatisfied
2002,Full-Time,Very Satisfied
2003,Full-Time,Satisfied
2004,Contract,Satisfied
2005,Full-Time,Satisfied
2006,Part-Time,Satisfied
2007,Full-Time,Neutral
2008,Full-Time,Neutral
2009,Full-Time,Satisfied
2010,Freelance,Dissatisfied
2011,Full-Time,Satisfied
2012,Contract,Very Satisfied
2013,Freelance,Very Satisfied
2014,Full-Time,Very Satisfied
2015,Full-Time,Satisfied
2016,Part-Time,Very Satisfied
2017,Contract,Very Satisfied
2018,Freelance,Dissatisfied
2019,Full-Time,Satisfied
2020,Internship,Dissatisfied
2021,Full-Time,Satisfied
2022,Full-Time,Satisfied
2023,Full-Time,Very Satisfied
2024,Contract,Neutral
2025,Freelance,Neutral
2026,Freelance,Satisfied
2027,Full-Time,Very Satisfied
2028,Full-Time,Dissatisfied
2029,Full-Time,Neutral
2030,Part-Time,Satisfied
2031,Part-Time,Neutral
2032,Full-Time,Satisfied
2033,Freelance,Satisfied
2034,Contract,Satisfied
2035,Full-Time,Neutral
2036,Contract,Very Satisfied
2037,Full-Time,Very Satisfied
2038,Full-Time,Neutral
2039,Contract,Satisfied
2040,Part-Time,Neutral
2041,Full-Time,Very Satisfied
2042,Contract,Dissatisfied
2043,Freelance,Dissatisfied
2044,Full-Time,Satisfied
2045,Full-Time,Satisfied
2046,Internship,Neutral
2047,Full-Time,Satisfied
2048,Freelance,Very Satisfied
2049,Freelance,Satisfied
2050,Full-Time,Satisfied
2051,Freelance,Satisfied
2052,Part-Time,Satisfied
2053,Contract,Dissatisfied
2054,Full-Time,Dissatisfied
2055,Full-Time,Satisfied
2056,Full-Time,Neutral
2057,Full-Time,Neutral
2058,Full-Time,Neutral
2059,Freelance,Neutral
2060,Contract,Satisfied
2061,Contract,Satisfied
2062,Full-Time,Dissatisfied
2063,Part-Time,Neutral
2064,Freelance,Neutral
2065,Full-Time,Satisfied
2066,Full-Time,Very Satisfied
2067,Contract,Satisfied
2068,Part-Time,Dissatisfied
2069,Full-Time,Neutral
2070,Freelance,Neutral
2071,Freelance,Satisfied
2072,Full-Time,Neutral
2073,Contract,Neutral
2074,Full-Time,Satisfied
2075,Full-Time,Neutral
2076,Freelance,Very Dissatisfied
2077,Full-Time,Satisfied
2078,Part-Time,Very Dissatisfied
2079,Part-Time,Dissatisfied
2080,Contract,Satisfied
2081,Full-Time,Neutral
2082,Full-Time,Satisfied
2083,Full-Time,Satisfied
2084,Full-Time,Satisfied
2085,Freelance,Very Satisfied
2086,Contract,Satisfied
2087,Full-Time,Very Satisfied
2088,Contract,Very Dissatisfied
2089,Part-Time,Satisfied
2090,Full-Time,Very Satisfied
2091,Contract,Neutral
2092,Internship,Satisfied
2093,Full-Time,Satisfied
2094,Internship,Dissatisfied
2095,Full-Time,Neutral
2096,Contract,Neutral
2097,Part-Time,Satisfied
2098,Full-Time,Neutral
2099,Part-Time,Satisfied
2100,Full-Time,Neutral
2101,Full-Time,Dissatisfied
2102,Full-Time,Satisfied
2103,Contract,Neutral
2104,Internship,Very Satisfied
2105,Contract,Dissatisfied
2106,Internship,Neutral
2107,Contract,Satisfied
2108,Part-Time,Very Satisfied
2109,Part-Time,Dissatisfied
2110,Full-Time,Satisfied
2111,Full-Time,Satisfied
2112,Freelance,Neutral
2113,Full-Time,Very Dissatisfied
2114,Full-Time,Satisfied
2115,Full-Time,Satisfied
2116,Full-Time,Satisfied
2117,Full-Time,Very Satisfied
2118,Part-Time,Neutral
2119,Internship,Dissatisfied
2120,Part-Time,Satisfied
2121,Contract,Dissatisfied
2122,Full-Time,Very Satisfied
2123,Full-Time,Satisfied
2124,Full-Time,Neutral
2125,Full-Time,Satisfied
2126,Full-Time,Very Satisfied
2127,Part-Time,Satisfied
2128,Contract,Satisfied
2129,Full-Time,Neutral
2130,Internship,Satisfied
2131,Part-Time,Satisfied
2132,Full-Time,Dissatisfied
2133,Freelance,Very Satisfied
2134,Full-Time,Neutral
2135,Contract,Very Dissatisfied
2136,Internship,Dissatisfied
2137,Part-Time,Neutral
2138,Part-Time,Satisfied
2139,Internship,Dissatisfied
2140,Part-Time,Very Dissatisfied
2141,Full-Time,Satisfied
2142,Part-Time,Satisfied
2143,Full-Time,Satisfied
2144,Full-Time,Satisfied
2145,Full-Time,Satisfied
2146,Contract,Very Satisfied
2147,Internship,Dissatisfied
2148,Full-Time,Very Dissatisfied
2149,Part-Time,Satisfied
2150,Full-Time,Very Satisfied
2151,Full-Time,Dissatisfied
2152,Internship,Neutral
2153,Full-Time,Very Satisfied
2154,Contract,Very Dissatisfied
2155,Full-Time,Very Satisfied
2156,Full-Time,Very Satisfied
2157,Full-Time,Satisfied
2158,Contract,Satisfied
2159,Freelance,Very Satisfied
2160,Full-Time,Satisfied
2161,Internship,Dissatisfied
2162,Full-Time,Satisfied
2163,Part-Time,Very Satisfied
2164,Contract,Satisfied
2165,Contract,Satisfied
2166,Full-Time,Satisfied
2167,Contract,Very Satisfied
2168,Full-Time,Very Satisfied
2169,Freelance,Neutral
2170,Full-Time,Neutral
2171,Full-Time,Satisfied
2172,Full-Time,Very Satisfied
2173,Freelance,Very Satisfied
2174,Internship,Neutral
2175,Freelance,Very Satisfied
2176,Part-Time,Dissatisfied
2177,Full-Time,Very Dissatisfied
2178,Full-Time,Neutral
2179,Freelance,Satisfied
2180,Full-Time,Satisfied
2181,Internship,Neutral
2182,Full-Time,Neutral
2183,Part-Time,Neutral
2184,Contract,Very Dissatisfied
2185,Contract,Very Satisfied
2186,Full-Time,Neutral
2187,Freelance,Satisfied
2188,Part-Time,Neutral
2189,Part-Time,Neutral
2190,Part-Time,Very Dissatisfied
2191,Internship,Satisfied
2192,Freelance,Very Dissatisfied
2193,Full-Time,Neutral
2194,Full-Time,Satisfied
2195,Part-Time,Neutral
2196,Contract,Neutral
2197,Full-Time,Satisfied
2198,Full-Time,Satisfied
2199,Full-Time,Satisfied
2200,Full-Time,Neutral
2201,Freelance,Satisfied
2202,Freelance,Satisfied
2203,Internship,Neutral
2204,Contract,Satisfied
2205,Contract,Dissatisfied
2206,Full-Time,Very Satisfied
2207,Part-Time,Neutral
2208,Freelance,Neutral
2209,Full-Time,Very Satisfied
2210,Full-Time,Satisfied
2211,Full-Time,Satisfied
2212,Freelance,Very Dissatisfied
2213,Part-Time,Neutral
2214,Full-Time,Satisfied
2215,Full-Time,Satisfied
2216,Full-Time,Very Satisfied
2217,Part-Time,Dissatisfied
2218,Contract,Satisfied
2219,Freelance,Very Satisfied
2220,Contract,Satisfied
2221,Full-Time,Satisfied
2222,Part-Time,Dissatisfied
2223,Full-Time,Satisfied
2224,Freelance,Dissatisfied
2225,Full-Time,Satisfied
2226,Freelance,Satisfied
2227,Internship,Satisfied
2228,Contract,Satisfied
2229,Internship,Dissatisfied
2230,Full-Time,Satisfied
2231,Full-Time,Neutral
2232,Full-Time,Very Satisfied
2233,Full-Time,Satisfied
2234,Full-Time,Neutral
2235,Full-Time,Very Satisfied
2236,Contract,Very Satisfied
2237,Internship,Satisfied
2238,Freelance,Very Satisfied
2239,Part-Time,Very Dissatisfied
2240,Full-Time,Very Satisfied
2241,Full-Time,Very Satisfied
2242,Full-Time,Satisfied
2243,Part-Time,Very Dissatisfied
2244,Full-Time,Satisfied
2245,Freelance,Neutral
2246,Full-Time,Very Satisfied
2247,Contract,Satisfied
2248,Internship,Very Satisfied
2249,Full-Time,Satisfied
2250,Full-Time,Satisfied
2251,Internship,Neutral
2252,Full-Time,Very Satisfied
2253,Contract,Very Dissatisfied
2254,Freelance,Dissatisfied
2255,Contract,Satisfied
2256,Contract,Satisfied
2257,Full-Time,Very Dissatisfied
2258,Contract,Very Dissatisfied
2259,Full-Time,Very Satisfied
2260,Part-Time,Satisfied
2261,Full-Time,Satisfied
2262,Full-Time,Very Dissatisfied
2263,Full-Time,Neutral
2264,Contract,Very Satisfied
2265,Freelance,Satisfied
2266,Part-Time,Neutral
2267,Internship,Neutral
2268,Freelance,Dissatisfied
2269,Full-Time,Neutral
2270,Contract,Neutral
2271,Full-Time,Satisfied
2272,Full-Time,Neutral
2273,Internship,Very Dissatisfied
2274,Full-Time,Satisfied
2275,Part-Time,Very Satisfied
2276,Full-Time,Satisfied
2277,Full-Time,Satisfied
2278,Full-Time,Satisfied
2279,Full-Time,Very Satisfied
2280,Full-Time,Very Satisfied
2281,Freelance,Neutral
2282,Freelance,Very Satisfied
2283,Contract,Satisfied
2284,Full-Time,Neutral
2285,Full-Time,Very Satisfied
2286,Internship,Dissatisfied
2287,Full-Time,Very Dissatisfied
2288,Full-Time,Neutral
2289,Freelance,Very Satisfied
2290,Internship,Dissatisfied
2291,Part-Time,Dissatisfied
2292,Internship,Dissatisfied
2293,Full-Time,Satisfied
2294,Part-Time,Neutral
2295,Contract,Satisfied
2296,Full-Time,Satisfied
2297,Contract,Satisfied
2298,Freelance,Dissatisfied
2299,Full-Time,Satisfied
2300,Internship,Satisfied
2301,Full-Time,Very Satisfied
2302,Full-Time,Neutral
2303,Full-Time,Very Dissatisfied
2304,Full-Time,Dissatisfied
2305,Full-Time,Very Satisfied
2306,Full-Time,Satisfied
2307,Freelance,Satisfied
2308,Full-Time,Very Satisfied
2309,Full-Time,Satisfied
2310,Part-Time,Satisfied
2311,Freelance,Satisfied
2312,Part-Time,Neutral
2313,Contract,Very Satisfied
2314,Contract,Satisfied
2315,Full-Time,Satisfied
2316,Part-Time,Neutral
2317,Full-Time,Satisfied
2318,Full-Time,Neutral
2319,Full-Time,Neutral
2320,Full-Time,Satisfied
2321,Full-Time,Satisfied
2322,Full-Time,Dissatisfied
2323,Freelance,Dissatisfied
2324,Full-Time,Neutral
2325,Full-Time,Satisfied
2326,Contract,Neutral
2327,Internship,Very Dissatisfied
2328,Full-Time,Satisfied
2329,Contract,Dissatisfied
2330,Full-Time,Very Satisfied
2331,Full-Time,Neutral
2332,Full-Time,Satisfied
2333,Full-Time,Satisfied
2334,Full-Time,Very Satisfied
2335,Part-Time,Neutral
2336,Full-Time,Dissatisfied
2337,Internship,Dissatisfied
2338,Contract,Neutral
2339,Freelance,Neutral
2340,Full-Time,Very Dissatisfied
2341,Freelance,Satisfied
2342,Part-Time,Dissatisfied
2343,Contract,Very Satisfied
2344,Part-Time,Very Satisfied
2345,Part-Time,Neutral
2346,Full-Time,Neutral
2347,Full-Time,Satisfied
2348,Full-Time,Satisfied
2349,Full-Time,Very Satisfied
2350,Contract,Satisfied
2351,Internship,Neutral
2352,Full-Time,Very Satisfied
2353,Part-Time,Satisfied
2354,Full-Time,Dissatisfied
2355,Freelance,Very Satisfied
2356,Freelance,Satisfied
2357,Internship,Dissatisfied
2358,Full-Time,Satisfied
2359,Full-Time,Satisfied
2360,Part-Time,Satisfied
2361,Part-Time,Very Satisfied
2362,Part-Time,Neutral
2363,Internship,Neutral
2364,Contract,Satisfied
2365,Full-Time,Very Satisfied
2366,Internship,Very Dissatisfied
2367,Contract,Satisfied
2368,Full-Time,Satisfied
2369,Freelance,Very Dissatisfied
2370,Internship,Neutral
2371,Full-Time,Very Satisfied
2372,Full-Time,Very Satisfied
2373,Part-Time,Neutral
2374,Full-Time,Very Satisfied
2375,Freelance,Satisfied
2376,Contract,Dissatisfied
2377,Full-Time,Very Satisfied
2378,Full-Time,Satisfied
2379,Full-Time,Very Satisfied
2380,Freelance,Satisfied
2381,Part-Time,Neutral
2382,Contract,Satisfied
2383,Full-Time,Satisfied
2384,Full-Time,Satisfied
2385,Full-Time,Very Satisfied
2386,Freelance,Satisfied
2387,Full-Time,Very Satisfied
2388,Part-Time,Very Satisfied
2389,Full-Time,Satisfied
2390,Full-Time,Very Satisfied
2391,Internship,Neutral
2392,Full-Time,Very Satisfied
2393,Freelance,Neutral
2394,Full-Time,Very Satisfied
2395,Full-Time,Satisfied
2396,Freelance,Very Satisfied
2397,Full-Time,Very Satisfied
2398,Freelance,Neutral
2399,Full-Time,Satisfied
2400,Freelance,Very Dissatisfied
